name,category_name,user_id,created_at
Restaurants,Dining,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Groceries,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Coffee Shops,Dining,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Fuel,Automotive,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Accommodations,Vacation,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Other,Vacation,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Museums & Galleries,Sports & Leisure,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Gifts,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Office Supplies,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Home Repairs & Maintenance,Home & Garden,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
BB,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Furniture,Home & Garden,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Health & Beauty,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Electronics,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Alex,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
"Clothing, Shoes & Accessories",Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Buses,Transportation,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Trains,Transportation,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Vitamins & Supplements,Healthcare,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Maintenance & Repairs,Automotive,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Books & Hobbies,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Medicine & Prescriptions,Healthcare,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Movies,Sports & Leisure,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Home Décor,Home & Garden,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Events,Sports & Leisure,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Bars & Drinks,Dining,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Dental Care,Healthcare,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Garden Supplies & Plants,Home & Garden,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Pets,Shopping,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Appliances & Electronics,Home & Garden,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Registration & Taxes,Automotive,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Sporting Events,Sports & Leisure,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Wellness,Healthcare,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Parking & Tolls,Automotive,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Flights,Vacation,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z
Surgeries & Procedures,Healthcare,00000000-0000-0000-0000-000000000000,2025-01-21T06:09:15.627Z